route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,note_fr,note_en
2,20C-GLOBAUX-04-S,20C-GLOBAUX-04-S_2_0_218361625,STATION HENRI-BOURASSA,0,20239,1,,
2,20C-GLOBAUX-04-A,20C-GLOBAUX-04-A_2_0_218365435,STATION MONTMORENCY,0,20022,1,,
2,20C-GLOBAUX-04-I,20C-GLOBAUX-04-I_2_0_218368978,STATION MONTMORENCY,0,20022,1,,
2,20M-GLOBAUX-04-S,20M-GLOBAUX-04-S_2_0_213948810,STATION HENRI-BOURASSA,0,20239,1,,
2,20M-GLOBAUX-20-S,20M-GLOBAUX-20-S_2_0_216824041,STATION MONTMORENCY,0,20022,1,,
2,20M-GLOBAUX-00-A,20M-GLOBAUX-00-A_2_0_210127250,STATION MONTMORENCY,0,20022,1,,
2,20M-GLOBAUX-20-A,20M-GLOBAUX-20-A_2_0_216828653,STATION MONTMORENCY,0,20022,1,,
2,20M-GLOBAUX-00-I,20M-GLOBAUX-00-I_2_0_210130792,STATION MONTMORENCY,0,20022,1,,
2,20M-GLOBAUX-20-I,20M-GLOBAUX-20-I_2_0_216832059,STATION MONTMORENCY,0,20022,1,,
2,20M-GLOBAUX-20-F1,20M-GLOBAUX-20-F1_2_0_216835143,STATION MONTMORENCY,0,20022,1,,
2,20M-GLOBAUX-20-F2,20M-GLOBAUX-20-F2_2_0_216838782,STATION MONTMORENCY,0,20022,1,,
2,20M-GLOBAUX-00-F3,20M-GLOBAUX-00-F3_2_0_210334415,STATION MONTMORENCY,0,20022,1,,
1,20C-GLOBAUX-04-S,20C-GLOBAUX-04-S_1_2,STATION HONORÉ-BEAUGRAND,0,11071,1,,
1,20C-GLOBAUX-04-S,20C-GLOBAUX-04-S_1_3,STATION ANGRIGNON,1,11072,1,,
2,20C-GLOBAUX-04-S,20C-GLOBAUX-04-S_2_0,STATION MONTMORENCY,0,20237,1,,
2,20C-GLOBAUX-04-S,20C-GLOBAUX-04-S_2_1,STATION CÔTE-VERTU,1,20236,1,,
4,20C-GLOBAUX-04-S,20C-GLOBAUX-04-S_4_0,STATION BERRI-UQAM,0,40025,1,,
4,20C-GLOBAUX-04-S,20C-GLOBAUX-04-S_4_1,STATION LONGUEUIL–UNIVERSITÉ-DE-SHERBROOKE,1,40024,1,,
5,20C-GLOBAUX-04-S,20C-GLOBAUX-04-S_5_2,STATION SAINT-MICHEL,0,51763,1,,
5,20C-GLOBAUX-04-S,20C-GLOBAUX-04-S_5_3,STATION SNOWDON,1,51762,1,,
1,20C-GLOBAUX-04-A,20C-GLOBAUX-04-A_1_2,STATION HONORÉ-BEAUGRAND,0,11071,1,,
1,20C-GLOBAUX-04-A,20C-GLOBAUX-04-A_1_3,STATION ANGRIGNON,1,11072,1,,
2,20C-GLOBAUX-04-A,20C-GLOBAUX-04-A_2_0,STATION MONTMORENCY,0,20237,1,,
2,20C-GLOBAUX-04-A,20C-GLOBAUX-04-A_2_1,STATION CÔTE-VERTU,1,20236,1,,
4,20C-GLOBAUX-04-A,20C-GLOBAUX-04-A_4_0,STATION BERRI-UQAM,0,40025,1,,
4,20C-GLOBAUX-04-A,20C-GLOBAUX-04-A_4_1,STATION LONGUEUIL–UNIVERSITÉ-DE-SHERBROOKE,1,40024,1,,
5,20C-GLOBAUX-04-A,20C-GLOBAUX-04-A_5_2,STATION SAINT-MICHEL,0,51763,1,,
5,20C-GLOBAUX-04-A,20C-GLOBAUX-04-A_5_3,STATION SNOWDON,1,51762,1,,
1,20C-GLOBAUX-04-I,20C-GLOBAUX-04-I_1_2,STATION HONORÉ-BEAUGRAND,0,11071,1,,
1,20C-GLOBAUX-04-I,20C-GLOBAUX-04-I_1_3,STATION ANGRIGNON,1,11072,1,,
2,20C-GLOBAUX-04-I,20C-GLOBAUX-04-I_2_0,STATION MONTMORENCY,0,20237,1,,
2,20C-GLOBAUX-04-I,20C-GLOBAUX-04-I_2_1,STATION CÔTE-VERTU,1,20236,1,,
4,20C-GLOBAUX-04-I,20C-GLOBAUX-04-I_4_0,STATION BERRI-UQAM,0,40025,1,,
4,20C-GLOBAUX-04-I,20C-GLOBAUX-04-I_4_1,STATION LONGUEUIL–UNIVERSITÉ-DE-SHERBROOKE,1,40024,1,,
5,20C-GLOBAUX-04-I,20C-GLOBAUX-04-I_5_2,STATION SAINT-MICHEL,0,51763,1,,
5,20C-GLOBAUX-04-I,20C-GLOBAUX-04-I_5_3,STATION SNOWDON,1,51762,1,,
93,20C-H50C000A-90-A,218313818,93-E,0,930076,2,,
16,20C-H50C000A-90-A,218313819,16-E,0,160085,2,,
93,20C-H50C000A-90-A,218313820,93-O,1,930075,2,,
16,20C-H50C000A-90-A,218313822,16-O,1,160086,2,,
16,20C-H50C000A-90-A,218313823,16-E,0,160085,2,,
16,20C-H50C000A-90-A,218313824,16-O,1,160086,2,,
16,20C-H50C000A-90-A,218313825,16-E,0,160085,2,,
16,20C-H50C000A-90-A,218313826,16-O,1,160086,2,,
16,20C-H50C000A-90-A,218313827,16-E,0,160085,2,,
16,20C-H50C000A-90-A,218313828,16-O,1,160086,2,,
16,20C-H50C000A-90-A,218313829,16-O,1,160086,2,,
16,20C-H50C000A-90-A,218313830,16-E,0,160085,2,,
16,20C-H50C000A-90-A,218313831,16-O,1,160086,2,,
16,20C-H50C000A-90-A,218313832,16-E,0,160085,2,,
16,20C-H50C000A-90-A,218313833,16-O,1,160086,2,,
16,20C-H50C000A-90-A,218313834,16-E,0,160085,2,,
16,20C-H50C000A-90-A,218313835,16-O,1,160086,2,,
16,20C-H50C000A-90-A,218313836,16-E,0,160085,2,,
16,20C-H50C000A-90-A,218313837,16-O,1,160086,2,,
16,20C-H50C000A-90-A,218313838,16-E,0,160085,2,,
16,20C-H50C000A-90-A,218313839,16-O,1,160086,2,,
16,20C-H50C000A-90-A,218313840,16-E,0,160085,2,,
16,20C-H50C000A-90-A,218313841,16-O,1,160086,2,,
16,20C-H50C000A-90-A,218313842,16-E,0,160085,2,,
16,20C-H50C000A-90-A,218313843,16-O,1,160086,2,,
16,20C-H50C000A-90-A,218313844,16-E,0,160085,2,,
16,20C-H50C000A-90-A,218313845,16-O,1,160086,2,,
16,20C-H50C000A-90-A,218313846,16-E,0,160085,2,,
16,20C-H50C000A-90-A,218313847,16-O,1,160086,2,,
16,20C-H50C000A-90-A,218313848,16-E,0,160085,2,,
16,20C-H50C000A-90-A,218313849,16-O,1,160086,2,,
16,20C-H50C000A-90-A,218313850,16-E,0,160085,2,,
16,20C-H50C000A-90-A,218313851,16-O,1,160086,2,,
16,20C-H50C000A-90-A,218313854,16-E,0,160085,1,,
16,20C-H50C000A-90-A,218313855,16-O,1,160086,1,,
16,20C-H50C000A-90-A,218313856,16-E,0,160085,1,,
16,20C-H50C000A-90-A,218313857,16-O,1,160086,1,,
16,20C-H50C000A-90-A,218313858,16-E,0,160085,1,,
16,20C-H50C000A-90-A,218313859,16-O,1,160086,1,,
16,20C-H50C000A-90-A,218313860,16-E,0,160085,1,,
16,20C-H50C000A-90-A,218313861,16-O,1,160086,1,,
16,20C-H50C000A-90-A,218313862,16-E,0,160085,1,,
16,20C-H50C000A-90-A,218313863,16-O,1,160086,1,,
16,20C-H50C000A-90-A,218313864,16-E,0,160085,1,,
16,20C-H50C000A-90-A,218313865,16-O,1,160086,1,,
16,20C-H50C000A-90-A,218313866,16-E,0,160085,1,,
16,20C-H50C000A-90-A,218313867,16-O,1,160086,1,,
16,20C-H50C000A-90-A,218313868,16-E,0,160085,1,,
16,20C-H50C000A-90-A,218313869,16-O,1,160086,1,,
16,20C-H50C000A-90-A,218313870,16-E,0,160085,1,,
16,20C-H50C000A-90-A,218313871,16-O,1,160086,1,,
16,20C-H50C000A-90-A,218313872,16-O,1,160086,1,,
16,20C-H50C000A-90-A,218313873,16-E,0,160085,1,,
16,20C-H50C000A-90-A,218313874,16-O,1,160086,1,,
16,20C-H50C000A-90-A,218313875,16-E,0,160085,1,,
16,20C-H50C000A-90-A,218313876,16-E,0,160085,1,,
16,20C-H50C000A-90-A,218313877,16-O,1,160086,1,,
16,20C-H50C000A-90-A,218313878,16-E,0,160085,1,,
16,20C-H50C000A-90-A,218313879,16-O,1,160086,1,,
16,20C-H50C000A-90-A,218313880,16-E,0,160085,1,,
16,20C-H50C000A-90-A,218313881,16-O,1,160086,1,,
16,20C-H50C000A-90-A,218313882,16-E,0,160085,1,,
93,20C-H50C000A-90-A,218313884,93-E,0,930076,1,,
93,20C-H50C000A-90-A,218313885,93-E,0,930076,1,,
93,20C-H50C000A-90-A,218313886,93-O,1,930075,1,,
93,20C-H50C000A-90-A,218313887,93-O,1,930075,1,,
93,20C-H50C000A-90-A,218313888,93-E,0,930076,1,,
93,20C-H50C000A-90-A,218313889,93-O,1,930075,1,,
16,20C-H50C000A-90-A,218313890,16-E,0,160085,1,,
16,20C-H50C000A-90-A,218313891,16-O,1,160086,1,,
93,20C-H50C000A-90-A,218313893,93-O,1,930075,1,,
93,20C-H50C000A-90-A,218313894,93-E,0,930076,1,,
93,20C-H50C000A-90-A,218313895,93-O,1,930075,1,,
93,20C-H50C000A-90-A,218313896,93-E,0,930076,1,,
93,20C-H50C000A-90-A,218313897,93-O,1,930075,1,,
93,20C-H50C000A-90-A,218313898,93-E,0,930076,1,,
93,20C-H50C000A-90-A,218313899,93-E,0,930076,1,,
93,20C-H50C000A-90-A,218313900,93-O,1,930075,1,,
93,20C-H50C000A-90-A,218313901,93-E,0,930076,1,,
93,20C-H50C000A-90-A,218313902,93-O,1,930075,1,,
93,20C-H50C000A-90-A,218313903,93-O,1,930075,1,,
93,20C-H50C000A-90-A,218313904,93-E,0,930076,1,,
93,20C-H50C000A-90-A,218313905,93-O,1,930075,1,,
93,20C-H50C000A-90-A,218313906,93-E,0,930076,1,,
93,20C-H50C000A-90-A,218313907,93-E,0,930076,1,,
93,20C-H50C000A-90-A,218313908,93-O,1,930075,1,,
93,20C-H50C000A-90-A,218313909,93-E,0,930076,1,,
93,20C-H50C000A-90-A,218313910,93-O,1,930075,1,,
93,20C-H50C000A-90-A,218313911,93-O,1,930075,1,,
93,20C-H50C000A-90-A,218313912,93-E,0,930076,1,,
93,20C-H50C000A-90-A,218313913,93-O,1,930075,1,,
380,20C-H50C000A-90-A,218313914,380-E,0,3800098,1,,
93,20C-H50C000A-90-A,218313915,93-E,0,930076,1,,
380,20C-H50C000A-90-A,218313917,380-O,1,3800097,1,,
100,20C-H50C000A-90-A,218313922,100-O,1,1000223,1,,
100,20C-H50C000A-90-A,218313925,100-E,0,1000222,1,,
93,20C-H50C000A-90-A,218313928,93-E,0,930076,1,,
93,20C-H50C000A-90-A,218313929,93-O,1,930075,1,,
93,20C-H50C000A-90-A,218313930,93-E,0,930076,1,,
93,20C-H50C000A-90-A,218313931,93-O,1,930075,1,,
93,20C-H50C000A-90-A,218313932,93-E,0,930076,1,,
93,20C-H50C000A-90-A,218313933,93-O,1,930075,1,,
93,20C-H50C000A-90-A,218313934,93-E,0,930076,1,,
93,20C-H50C000A-90-A,218313935,93-E,0,930076,1,,
93,20C-H50C000A-90-A,218313936,93-O,1,930075,1,,
93,20C-H50C000A-90-A,218313937,93-E,0,930076,1,,
93,20C-H50C000A-90-A,218313938,93-O,1,930075,1,,
93,20C-H50C000A-90-A,218313939,93-O,1,930075,1,,
93,20C-H50C000A-90-A,218313940,93-E,0,930076,1,,
93,20C-H50C000A-90-A,218313941,93-O,1,930075,1,,
93,20C-H50C000A-90-A,218313942,93-E,0,930076,1,,
380,20C-H50C000A-90-A,218313945,380-E,0,3800098,1,,
380,20C-H50C000A-90-A,218313946,380-O,1,3800097,1,,
100,20C-H50C000A-90-A,218313949,100-O,1,1000223,2,,
100,20C-H50C000A-90-A,218313951,100-O,1,1000223,1,,
100,20C-H50C000A-90-A,218313952,100-O,1,1000223,1,,
100,20C-H50C000A-90-A,218313953,100-O,1,1000223,1,,
100,20C-H50C000A-90-A,218313954,100-O,1,1000223,1,,
100,20C-H50C000A-90-A,218313955,100-O,1,1000223,1,,
171,20C-H50C000A-90-A,218313956,171-O,1,1710213,1,,
100,20C-H50C000A-90-A,218313957,100-O,1,1000223,1,,
100,20C-H50C000A-90-A,218313958,100-E,0,1000222,1,,
100,20C-H50C000A-90-A,218313959,100-E,0,1000222,2,,
100,20C-H50C000A-90-A,218313960,100-E,0,1000222,1,,
100,20C-H50C000A-90-A,218313961,100-E,0,1000222,1,,
100,20C-H50C000A-90-A,218313962,100-E,0,1000222,1,,
100,20C-H50C000A-90-A,218313963,100-E,0,1000222,1,,
100,20C-H50C000A-90-A,218313964,100-O,1,1000223,1,,
100,20C-H50C000A-90-A,218313965,100-E,0,1000222,1,,
100,20C-H50C000A-90-A,218313966,100-O,1,1000223,1,,
100,20C-H50C000A-90-A,218313967,100-E,0,1000222,1,,
100,20C-H50C000A-90-A,218313968,100-O,1,1000223,1,,
100,20C-H50C000A-90-A,218313969,100-E,0,1000222,1,,
100,20C-H50C000A-90-A,218313970,100-O,1,1000223,1,,
162,20C-H50C000A-90-A,218313971,162-O,1,1620097,1,,
100,20C-H50C000A-90-A,218313979,100-E,0,1000222,1,,
100,20C-H50C000A-90-A,218313982,100-O,1,1000223,1,,
100,20C-H50C000A-90-A,218313985,100-E,0,1000222,1,,
100,20C-H50C000A-90-A,218313987,100-O,1,1000223,1,,
100,20C-H50C000A-90-A,218313988,100-E,0,1000222,1,,
100,20C-H50C000A-90-A,218313990,100-O,1,1000223,1,,
100,20C-H50C000A-90-A,218313991,100-E,0,1000222,1,,
100,20C-H50C000A-90-A,218313993,100-O,1,1000223,1,,
100,20C-H50C000A-90-A,218313994,100-E,0,1000222,1,,
100,20C-H50C000A-90-A,218313996,100-O,1,1000223,1,,
100,20C-H50C000A-90-A,218313997,100-E,0,1000222,1,,
100,20C-H50C000A-90-A,218313999,100-O,1,1000223,1,,
100,20C-H50C000A-90-A,218314000,100-E,0,1000222,1,,
100,20C-H50C000A-90-A,218314001,100-E,0,1000222,1,,
100,20C-H50C000A-90-A,218314003,100-O,1,1000223,1,,
100,20C-H50C000A-90-A,218314005,100-O,1,1000223,1,,
100,20C-H50C000A-90-A,218314006,100-E,0,1000222,1,,
369,20C-H50C000A-90-A,218314008,369-S,1,3690056,1,,
369,20C-H50C000A-90-A,218314009,369-N,0,3690055,1,,
369,20C-H50C000A-90-A,218314010,369-S,1,3690056,1,,
369,20C-H50C000A-90-A,218314011,369-N,0,3690055,1,,
369,20C-H50C000A-90-A,218314013,369-N,0,3690055,1,,
369,20C-H50C000A-90-A,218314014,369-S,1,3690056,1,,
100,20C-H50C000A-90-A,218314017,100-O,1,1000223,1,,
100,20C-H50C000A-90-A,218314018,100-E,0,1000222,1,,
100,20C-H50C000A-90-A,218314019,100-E,0,1000222,1,,
100,20C-H50C000A-90-A,218314020,100-O,1,1000223,2,,
100,20C-H50C000A-90-A,218314021,100-E,0,1000222,2,,
100,20C-H50C000A-90-A,218314022,100-O,1,1000223,2,,
100,20C-H50C000A-90-A,218314023,100-E,0,1000222,2,,
100,20C-H50C000A-90-A,218314024,100-E,0,1000222,2,,
100,20C-H50C000A-90-A,218314025,100-O,1,1000223,2,,
100,20C-H50C000A-90-A,218314028,100-E,0,1000222,2,,
100,20C-H50C000A-90-A,218314029,100-E,0,1000222,2,,
100,20C-H50C000A-90-A,218314030,100-O,1,1000223,2,,
100,20C-H50C000A-90-A,218314031,100-E,0,1000222,2,,
100,20C-H50C000A-90-A,218314038,100-O,1,1000223,2,,
100,20C-H50C000A-90-A,218314039,100-E,0,1000222,2,,
100,20C-H50C000A-90-A,218314040,100-O,1,1000223,2,,
100,20C-H50C000A-90-A,218314041,100-E,0,1000222,2,,
100,20C-H50C000A-90-A,218314043,100-O,1,1000223,2,,
100,20C-H50C000A-90-A,218314044,100-E,0,1000222,2,,
100,20C-H50C000A-90-A,218314046,100-O,1,1000223,2,,
100,20C-H50C000A-90-A,218314047,100-E,0,1000222,2,,
100,20C-H50C000A-90-A,218314049,100-O,1,1000223,2,,
100,20C-H50C000A-90-A,218314050,100-E,0,1000222,2,,
100,20C-H50C000A-90-A,218314052,100-O,1,1000223,2,,
100,20C-H50C000A-90-A,218314053,100-E,0,1000222,2,,
100,20C-H50C000A-90-A,218314055,100-O,1,1000223,2,,
100,20C-H50C000A-90-A,218314056,100-E,0,1000222,2,,
380,20C-H50C000A-90-A,218314058,380-O,1,3800097,2,,
380,20C-H50C000A-90-A,218314059,380-E,0,3800098,2,,
171,20C-H50C000A-90-A,218314062,171-E,0,1710198,1,,
160,20C-H50C000A-90-A,218314063,160-O,1,1600112,1,,
160,20C-H50C000A-90-A,218314065,160-E,0,1600110,1,,
160,20C-H50C000A-90-A,218314068,160-E,0,1600110,1,,
160,20C-H50C000A-90-A,218314069,160-E,0,1600110,1,,
160,20C-H50C000A-90-A,218314070,160-O,1,1600112,1,,
160,20C-H50C000A-90-A,218314071,160-O,1,1600112,1,,
160,20C-H50C000A-90-A,218314073,160-E,0,1600110,1,,
160,20C-H50C000A-90-A,218314075,160-O,1,1600112,1,,
160,20C-H50C000A-90-A,218314077,160-O,1,1600112,1,,
103,20C-H50C000A-90-A,218314079,103-E,0,1030163,1,,
103,20C-H50C000A-90-A,218314081,103-E,0,1030163,1,,
103,20C-H50C000A-90-A,218314082,103-E,0,1030163,1,,
103,20C-H50C000A-90-A,218314083,103-E,0,1030163,1,,
103,20C-H50C000A-90-A,218314084,103-O,1,1030165,1,,
103,20C-H50C000A-90-A,218314085,103-E,0,1030163,1,,
160,20C-H50C000A-90-A,218314087,160-O,1,1600112,1,,
160,20C-H50C000A-90-A,218314088,160-E,0,1600110,1,,
103,20C-H50C000A-90-A,218314089,103-O,1,1030165,1,,
103,20C-H50C000A-90-A,218314090,103-O,1,1030165,1,,
103,20C-H50C000A-90-A,218314091,103-O,1,1030165,1,,
103,20C-H50C000A-90-A,218314097,103-E,0,1030163,1,,
103,20C-H50C000A-90-A,218314098,103-O,1,1030165,1,,
103,20C-H50C000A-90-A,218314099,103-O,1,1030165,1,,
103,20C-H50C000A-90-A,218314100,103-E,0,1030163,1,,
103,20C-H50C000A-90-A,218314101,103-O,1,1030165,1,,
103,20C-H50C000A-90-A,218314102,103-E,0,1030163,1,,
105,20C-H50C000A-90-A,218314105,105-E,0,1050144,1,,
105,20C-H50C000A-90-A,218314106,105-O,1,1050147,1,,
105,20C-H50C000A-90-A,218314107,105-E,0,1050144,1,,
103,20C-H50C000A-90-A,218314108,103-E,0,1030163,1,,
103,20C-H50C000A-90-A,218314109,103-O,1,1030165,1,,
103,20C-H50C000A-90-A,218314110,103-E,0,1030163,1,,
103,20C-H50C000A-90-A,218314116,103-E,0,1030163,1,,
103,20C-H50C000A-90-A,218314117,103-E,0,1030163,1,,
103,20C-H50C000A-90-A,218314119,103-E,0,1030163,1,,
